,Op Type,"Dimension(input, weight,output)",Bound,C/M ratio,Op Intensity,Latency (msec),Cycles,C Effcy,Flops (GFLOP),Input_a (MB),Input_w (MB),Output (MB),Total Data (MB),Throughput (Tflops),Roofline Throughput offchip (Tflops),Roofline Throughput onchip (Tflops),Compute Cycles,Memory Cycles,Sparsity,Total energy (mJ)
10,aten::_convolution,"([1, 24, 320, 320], [96, 24, 1, 1], [1, 96, 320, 320])",M,0.14046146835273265,19.196400674873463,0.027311786666666667,25673.079466666666,1.0,0.4718592,2.4576,0.002304,9.8304,12.290304,17.276760607386116,17.276760607386116,17.276760607386116,3606.0784390243903,25673.079466666666,0.0,10356615.057098055
11,aten::_convolution,"([1, 96, 320, 320], [96, 1, 3, 3], [1, 96, 160, 160])",M,0.013169805705353416,1.7998734463983002,0.027308586666666666,25670.071466666664,1.0,0.0442368,9.8304,0.000864,2.4576,12.288864,1.6198861017584703,1.6198861017584703,1.6198861017584703,338.0698536585366,25670.071466666664,0.0,5239807.528538228
12,aten::batch_norm,"([1, 96, 160, 160], [1, 96, 160, 160])",M,0.0036585365853658543,0.5,0.010922666666666666,10267.306666666665,1.0,0.0049152,2.4576,0.0,2.4576,4.9152,0.45,0.45,0.45,37.56331707317074,10267.306666666665,0.0,0.0
13,aten::_convolution,"([1, 96, 160, 160], [32, 96, 1, 1], [1, 32, 160, 160])",M,0.17544527615116925,23.97752107399313,0.0072886044444444445,6851.2881777777775,1.0,0.1572864,2.4576,0.003072,0.8192,3.279872,21.579768966593818,21.579768966593818,21.579768966593818,1202.0261463414636,6851.2881777777775,0.0,5239807.528621029
14,aten::batch_norm,"([1, 32, 160, 160], [1, 32, 160, 160])",M,0.003658536585365854,0.5,0.003640888888888889,3422.4355555555553,1.0,0.0016384,0.8192,0.0,0.8192,1.6384,0.45,0.45,0.45,12.521105691056912,3422.4355555555553,0.0,0.0
15,aten::_convolution,"([1, 32, 160, 160], [64, 32, 1, 1], [1, 64, 160, 160])",M,0.15596758798562174,21.31557035803497,0.005465884444444445,5137.931377777778,1.0,0.1048576,0.8192,0.002048,1.6384,2.459648,19.184013322231472,19.184013322231472,19.184013322231472,801.3507642276423,5137.931377777778,0.0,5239807.528582628
16,aten::_convolution,"([1, 64, 160, 160], [64, 1, 3, 3], [1, 64, 160, 160])",M,0.032921042366314233,4.499209123396278,0.007283057777777777,6846.074311111111,1.0,0.0294912,1.6384,0.000576,1.6384,3.277376,4.04928821105665,4.04928821105665,4.04928821105665,225.3799024390244,6846.074311111111,0.0,5239807.528527428
17,aten::batch_norm,"([1, 64, 160, 160], [1, 64, 160, 160])",M,0.003658536585365854,0.5,0.007281777777777778,6844.871111111111,1.0,0.0032768,1.6384,0.0,1.6384,3.2768,0.45,0.45,0.45,25.042211382113823,6844.871111111111,0.0,0.0
18,aten::_convolution,"([1, 64, 160, 160], [32, 64, 1, 1], [1, 32, 160, 160])",M,0.15596758798562174,21.31557035803497,0.005465884444444445,5137.931377777778,1.0,0.1048576,1.6384,0.002048,0.8192,2.459648,19.184013322231472,19.184013322231472,19.184013322231472,801.3507642276423,5137.931377777778,0.0,5239807.528582628
19,aten::batch_norm,"([1, 32, 160, 160], [1, 32, 160, 160])",M,0.003658536585365854,0.5,0.003640888888888889,3422.4355555555553,1.0,0.0016384,0.8192,0.0,0.8192,1.6384,0.45,0.45,0.45,12.521105691056912,3422.4355555555553,0.0,0.0
